series,model,order,seasonal_order,aic,bic,test_rmse,test_mae,test_mape
Sales,SARIMA,"(2, 1, 0)","(0, 1, 0, 11)",184.9472783382509,189.15087048323736,15.175134411198899,12.217636533265456,31.075575836770724
Sales,SARIMA,"(2, 1, 1)","(0, 1, 0, 11)",186.9335799812017,192.53836950785032,15.241202910329688,12.266113109545092,31.19305016531656
Sales,SARIMA,"(2, 0, 1)","(0, 1, 0, 11)",192.78479965667617,198.52074847461677,15.266188126963291,12.317188133321782,31.217112009602175
Sales,SARIMA,"(2, 0, 2)","(0, 1, 0, 11)",188.6906725171627,195.69665942547348,15.313380939676481,12.255393463252249,31.312487306609626
Sales,SARIMA,"(1, 0, 2)","(0, 1, 0, 11)",186.7367861601996,192.34157568684824,15.570300951240418,12.326718374129241,31.645140627917172
Sales,SARIMA,"(2, 0, 0)","(1, 1, 0, 11)",94.01866917455104,98.001598268767,17.573524026530166,17.298977297532243,31.821288659103402
Sales,SARIMA,"(0, 0, 0)","(0, 1, 0, 11)",272.00350428779507,273.4692401905948,29.140428024559718,26.736363636363635,32.513158524357316
Sales,SARIMA,"(0, 0, 1)","(0, 1, 0, 11)",234.98477936341314,237.85275377238344,29.167813605037022,26.841702617335333,33.03463862817762
Sales,SARIMA,"(2, 0, 0)","(1, 1, 1, 11)",94.43495558554707,99.41361695331703,18.842532309088885,18.598107912333464,33.55473099240026
Sales,SARIMA,"(0, 1, 0)","(0, 1, 1, 11)",101.63141008540842,103.6228746325164,17.25609147823071,15.820757775152396,34.06537734985912
Sales,SARIMA,"(0, 0, 2)","(0, 1, 0, 11)",216.08588222673558,220.28947437172204,29.28675788658956,26.902222290509403,34.49737029729078
Sales,SARIMA,"(2, 0, 0)","(0, 1, 0, 11)",191.13429540819956,195.436257021655,17.09130570987065,14.970771292031527,34.501395778784
Sales,SARIMA,"(1, 0, 1)","(0, 1, 0, 11)",191.1626330648297,195.46459467828512,17.35956457867055,15.415653811024667,34.96647439352256
Sales,SARIMA,"(2, 1, 0)","(0, 1, 1, 11)",92.85298081320204,96.835909907418,18.261377958682278,17.043926575730712,35.76297168139486
Sales,SARIMA,"(1, 1, 0)","(0, 1, 1, 11)",94.66438440417834,97.65158122484031,18.896397234481967,17.95128612470532,36.42787206297165
Sales,SARIMA,"(1, 0, 0)","(0, 1, 0, 11)",194.73312420106726,197.6645960066667,18.347286208753992,16.90547038574873,36.5472011640223
Sales,SARIMA,"(0, 1, 1)","(0, 1, 1, 11)",90.75829569134626,93.59161262884558,19.221183906251053,18.41636550405664,36.58854983660616
Sales,SARIMA,"(1, 1, 1)","(0, 1, 1, 11)",89.92397313178247,93.70172904844824,19.22145411517688,18.19347843826039,37.16062032865229
Sales,SARIMA,"(0, 1, 2)","(0, 1, 1, 11)",84.85741569135314,88.4189027229378,19.58091008925334,18.72056852388637,37.561313196163844
Sales,SARIMA,"(1, 0, 2)","(1, 1, 0, 11)",100.12446629023934,105.34707847885646,22.96684287149454,22.713220051871307,37.74349942937633
Sales,SARIMA,"(1, 0, 1)","(1, 1, 0, 11)",98.85733203252288,103.03542178341657,25.980793391204706,25.56377957272666,40.80705464660968
